county,precinct,office,district,candidate,votes,party
Carson City,Carson City-Precinct 111,"University Board of Regents, Dist. 9",,"DEL CARLO, CAROL",505,
Carson City,Carson City-Precinct 111,"University Board of Regents, Dist. 9",,"LAFRANCE, SARA",494,
Carson City,Carson City-Precinct 113,COUNTY QUESTION CC1,,No,895,
Carson City,Carson City-Precinct 113,COUNTY QUESTION CC1,,Yes,394,
Carson City,Carson City-Precinct 113,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,267,
Carson City,Carson City-Precinct 113,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",895,
Carson City,Carson City-Precinct 113,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",947,
Carson City,Carson City-Precinct 113,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,232,
Carson City,Carson City-Precinct 113,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,259,
Carson City,Carson City-Precinct 113,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",896,
Carson City,Carson City-Precinct 113,Mayor of Carson City,,"CARVER, CHRIS",557,
Carson City,Carson City-Precinct 113,Mayor of Carson City,,"CROWELL, ROBERT BOB""""",644,
Carson City,Carson City-Precinct 113,President,,"CASTLE, DARRELL",5,IAP
Carson City,Carson City-Precinct 113,President,,"CLINTON, HILLARY",445,DEM
Carson City,Carson City-Precinct 113,President,,"DE LA FUENTE, ROQUE ROCKY""""",3,NPP
Carson City,Carson City-Precinct 113,President,,"JOHNSON, GARY",45,LPN
Carson City,Carson City-Precinct 113,President,,None Of These Candidates,39,
Carson City,Carson City-Precinct 113,President,,"TRUMP, DONALD J.",783,REP
Carson City,Carson City-Precinct 113,School Trustee Dist. 5,,"REYNOLDS, STEVEN",490,
Carson City,Carson City-Precinct 113,School Trustee Dist. 5,,"WALKER, MICHAEL B.",557,
Carson City,Carson City-Precinct 113,School Trustee Dist. 6,,"HART, SUSAN",1015,
Carson City,Carson City-Precinct 113,"State Assembly, District 40",,"GREEDY, MICHAEL L.",378,DEM
Carson City,Carson City-Precinct 113,"State Assembly, District 40",,"KRAMER, AL",823,REP
Carson City,Carson City-Precinct 113,"State Assembly, District 40",,"WAGNER, JOHN",73,IAP
Carson City,Carson City-Precinct 113,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",516,
Carson City,Carson City-Precinct 113,"State Board of Education, Dist. 2",,"HICKEY, PAT",564,
Carson City,Carson City-Precinct 113,STATE QUESTION NO.1,,No,911,
Carson City,Carson City-Precinct 113,STATE QUESTION NO.1,,Yes,390,
Carson City,Carson City-Precinct 113,STATE QUESTION NO.2,,No,765,
Carson City,Carson City-Precinct 113,STATE QUESTION NO.2,,Yes,536,
Carson City,Carson City-Precinct 113,STATE QUESTION NO.3,,No,559,
Carson City,Carson City-Precinct 113,STATE QUESTION NO.3,,Yes,709,
Carson City,Carson City-Precinct 113,STATE QUESTION NO.4,,No,436,
Carson City,Carson City-Precinct 113,STATE QUESTION NO.4,,Yes,825,
Carson City,Carson City-Precinct 113,"Supervisor, Ward 2",,"BONKOWSKI, BRAD",652,
Carson City,Carson City-Precinct 113,"Supervisor, Ward 2",,"WHITE, MAURICE",510,
Carson City,Carson City-Precinct 113,"Supervisor, Ward 4",,"BARRETTE, JOHN",557,
Carson City,Carson City-Precinct 113,"Supervisor, Ward 4",,"SHIRK, JIM",597,
Carson City,Carson City-Precinct 113,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",956,
Carson City,Carson City-Precinct 113,"Supreme Court Justice, Seat A",,None Of These Candidates,219,
Carson City,Carson City-Precinct 113,"Supreme Court Justice, Seat E",,None Of These Candidates,247,
Carson City,Carson City-Precinct 113,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",925,
Carson City,Carson City-Precinct 113,U.S. House,2,"Amodei, Mark E.",841,REP
Carson City,Carson City-Precinct 113,U.S. House,2,"EVANS, H.D. CHIP""""",398,DEM
Carson City,Carson City-Precinct 113,U.S. House,2,"Everhart, John H.",30,IAP
Carson City,Carson City-Precinct 113,U.S. House,2,"KNIGHT, DREW",18,
Carson City,Carson City-Precinct 113,U.S. Senate,,"CORTEZ MASTO, CATHERINE",458,DEM
Carson City,Carson City-Precinct 113,U.S. Senate,,"GUMINA, TONY",4,
Carson City,Carson City-Precinct 113,U.S. Senate,,"HECK, JOE",766,REP
Carson City,Carson City-Precinct 113,U.S. Senate,,"JONES, TOM",25,IAP
Carson City,Carson City-Precinct 113,U.S. Senate,,None Of These Candidates,41,
Carson City,Carson City-Precinct 113,U.S. Senate,,"SAWYER, THOMAS TOM""""",13,
Carson City,Carson City-Precinct 113,U.S. Senate,,"WILLIAMS, JARROD M.",5,
Carson City,Carson City-Precinct 113,"University Board of Regents, Dist. 9",,"DEL CARLO, CAROL",547,
Carson City,Carson City-Precinct 113,"University Board of Regents, Dist. 9",,"LAFRANCE, SARA",584,
Carson City,Carson City-Precinct 201,COUNTY QUESTION CC1,,No,549,
Carson City,Carson City-Precinct 201,COUNTY QUESTION CC1,,Yes,279,
Carson City,Carson City-Precinct 201,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,195,
Carson City,Carson City-Precinct 201,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",550,
Carson City,Carson City-Precinct 201,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",591,
Carson City,Carson City-Precinct 201,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,161,
Carson City,Carson City-Precinct 201,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,183,
Carson City,Carson City-Precinct 201,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",556,
Carson City,Carson City-Precinct 201,Mayor of Carson City,,"CARVER, CHRIS",351,
Carson City,Carson City-Precinct 201,Mayor of Carson City,,"CROWELL, ROBERT BOB""""",398,
Carson City,Carson City-Precinct 201,President,,"CASTLE, DARRELL",4,IAP
Carson City,Carson City-Precinct 201,President,,"CLINTON, HILLARY",351,DEM
Carson City,Carson City-Precinct 201,President,,"DE LA FUENTE, ROQUE ROCKY""""",2,NPP
Carson City,Carson City-Precinct 201,President,,"JOHNSON, GARY",43,LPN
Carson City,Carson City-Precinct 201,President,,None Of These Candidates,37,
Carson City,Carson City-Precinct 201,President,,"TRUMP, DONALD J.",410,REP
Carson City,Carson City-Precinct 201,School Trustee Dist. 5,,"REYNOLDS, STEVEN",306,
Carson City,Carson City-Precinct 201,School Trustee Dist. 5,,"WALKER, MICHAEL B.",387,
Carson City,Carson City-Precinct 201,School Trustee Dist. 6,,"HART, SUSAN",664,
Carson City,Carson City-Precinct 201,"State Assembly, District 40",,"GREEDY, MICHAEL L.",279,DEM
Carson City,Carson City-Precinct 201,"State Assembly, District 40",,"KRAMER, AL",449,REP
Carson City,Carson City-Precinct 201,"State Assembly, District 40",,"WAGNER, JOHN",81,IAP
Carson City,Carson City-Precinct 201,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",367,
Carson City,Carson City-Precinct 201,"State Board of Education, Dist. 2",,"HICKEY, PAT",329,
Carson City,Carson City-Precinct 201,STATE QUESTION NO.1,,No,541,
Carson City,Carson City-Precinct 201,STATE QUESTION NO.1,,Yes,292,
Carson City,Carson City-Precinct 201,STATE QUESTION NO.2,,No,365,
Carson City,Carson City-Precinct 201,STATE QUESTION NO.2,,Yes,469,
Carson City,Carson City-Precinct 201,STATE QUESTION NO.3,,No,294,
Carson City,Carson City-Precinct 201,STATE QUESTION NO.3,,Yes,521,
Carson City,Carson City-Precinct 201,STATE QUESTION NO.4,,No,220,
Carson City,Carson City-Precinct 201,STATE QUESTION NO.4,,Yes,586,
Carson City,Carson City-Precinct 201,"Supervisor, Ward 2",,"BONKOWSKI, BRAD",455,
Carson City,Carson City-Precinct 201,"Supervisor, Ward 2",,"WHITE, MAURICE",279,
Carson City,Carson City-Precinct 201,"Supervisor, Ward 4",,"BARRETTE, JOHN",383,
Carson City,Carson City-Precinct 201,"Supervisor, Ward 4",,"SHIRK, JIM",344,
Carson City,Carson City-Precinct 201,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",573,
Carson City,Carson City-Precinct 201,"Supreme Court Justice, Seat A",,None Of These Candidates,185,
Carson City,Carson City-Precinct 201,"Supreme Court Justice, Seat E",,None Of These Candidates,192,
Carson City,Carson City-Precinct 201,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",561,
Carson City,Carson City-Precinct 201,U.S. House,2,"Amodei, Mark E.",474,REP
Carson City,Carson City-Precinct 201,U.S. House,2,"EVANS, H.D. CHIP""""",286,DEM
Carson City,Carson City-Precinct 201,U.S. House,2,"Everhart, John H.",24,IAP
Carson City,Carson City-Precinct 201,U.S. House,2,"KNIGHT, DREW",31,
Carson City,Carson City-Precinct 201,U.S. Senate,,"CORTEZ MASTO, CATHERINE",340,DEM
Carson City,Carson City-Precinct 201,U.S. Senate,,"GUMINA, TONY",9,
Carson City,Carson City-Precinct 201,U.S. Senate,,"HECK, JOE",409,REP
Carson City,Carson City-Precinct 201,U.S. Senate,,"JONES, TOM",17,IAP
Carson City,Carson City-Precinct 201,U.S. Senate,,None Of These Candidates,34,
Carson City,Carson City-Precinct 201,U.S. Senate,,"SAWYER, THOMAS TOM""""",18,
Carson City,Carson City-Precinct 201,U.S. Senate,,"WILLIAMS, JARROD M.",15,
Carson City,Carson City-Precinct 201,"University Board of Regents, Dist. 9",,"DEL CARLO, CAROL",389,
Carson City,Carson City-Precinct 201,"University Board of Regents, Dist. 9",,"LAFRANCE, SARA",342,
Carson City,Carson City-Precinct 203,COUNTY QUESTION CC1,,No,719,
Carson City,Carson City-Precinct 203,COUNTY QUESTION CC1,,Yes,388,
Carson City,Carson City-Precinct 203,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,254,
Carson City,Carson City-Precinct 203,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",772,
Carson City,Carson City-Precinct 203,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",797,
Carson City,Carson City-Precinct 203,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,236,
Carson City,Carson City-Precinct 203,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,259,
Carson City,Carson City-Precinct 203,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",752,
Carson City,Carson City-Precinct 203,Mayor of Carson City,,"CARVER, CHRIS",445,
Carson City,Carson City-Precinct 203,Mayor of Carson City,,"CROWELL, ROBERT BOB""""",590,
Carson City,Carson City-Precinct 203,President,,"CASTLE, DARRELL",10,IAP
Carson City,Carson City-Precinct 203,President,,"CLINTON, HILLARY",490,DEM
Carson City,Carson City-Precinct 203,President,,"DE LA FUENTE, ROQUE ROCKY""""",3,NPP
Carson City,Carson City-Precinct 203,President,,"JOHNSON, GARY",71,LPN
Carson City,Carson City-Precinct 203,President,,None Of These Candidates,48,
Carson City,Carson City-Precinct 203,President,,"TRUMP, DONALD J.",516,REP
Carson City,Carson City-Precinct 203,School Trustee Dist. 5,,"REYNOLDS, STEVEN",444,
Carson City,Carson City-Precinct 203,School Trustee Dist. 5,,"WALKER, MICHAEL B.",482,
Carson City,Carson City-Precinct 203,School Trustee Dist. 6,,"HART, SUSAN",893,
Carson City,Carson City-Precinct 203,"State Assembly, District 40",,"GREEDY, MICHAEL L.",458,DEM
Carson City,Carson City-Precinct 203,"State Assembly, District 40",,"KRAMER, AL",534,REP
Carson City,Carson City-Precinct 203,"State Assembly, District 40",,"WAGNER, JOHN",96,IAP
Carson City,Carson City-Precinct 203,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",510,
Carson City,Carson City-Precinct 203,"State Board of Education, Dist. 2",,"HICKEY, PAT",428,
Carson City,Carson City-Precinct 203,STATE QUESTION NO.1,,No,697,
Carson City,Carson City-Precinct 203,STATE QUESTION NO.1,,Yes,428,
Carson City,Carson City-Precinct 203,STATE QUESTION NO.2,,No,504,
Carson City,Carson City-Precinct 203,STATE QUESTION NO.2,,Yes,621,
Carson City,Carson City-Precinct 203,STATE QUESTION NO.3,,No,435,
Carson City,Carson City-Precinct 203,STATE QUESTION NO.3,,Yes,668,
Carson City,Carson City-Precinct 203,STATE QUESTION NO.4,,No,348,
Carson City,Carson City-Precinct 203,STATE QUESTION NO.4,,Yes,752,
Carson City,Carson City-Precinct 203,"Supervisor, Ward 2",,"BONKOWSKI, BRAD",612,
Carson City,Carson City-Precinct 203,"Supervisor, Ward 2",,"WHITE, MAURICE",388,
Carson City,Carson City-Precinct 203,"Supervisor, Ward 4",,"BARRETTE, JOHN",521,
Carson City,Carson City-Precinct 203,"Supervisor, Ward 4",,"SHIRK, JIM",480,
Carson City,Carson City-Precinct 203,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",787,
Carson City,Carson City-Precinct 203,"Supreme Court Justice, Seat A",,None Of These Candidates,249,
Carson City,Carson City-Precinct 203,"Supreme Court Justice, Seat E",,None Of These Candidates,259,
Carson City,Carson City-Precinct 203,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",778,
Carson City,Carson City-Precinct 203,U.S. House,2,"Amodei, Mark E.",582,REP
Carson City,Carson City-Precinct 203,U.S. House,2,"EVANS, H.D. CHIP""""",454,DEM
Carson City,Carson City-Precinct 203,U.S. House,2,"Everhart, John H.",38,IAP
Carson City,Carson City-Precinct 203,U.S. House,2,"KNIGHT, DREW",30,
Carson City,Carson City-Precinct 203,U.S. Senate,,"CORTEZ MASTO, CATHERINE",515,DEM
Carson City,Carson City-Precinct 203,U.S. Senate,,"GUMINA, TONY",10,
Carson City,Carson City-Precinct 203,U.S. Senate,,"HECK, JOE",520,REP
Carson City,Carson City-Precinct 203,U.S. Senate,,"JONES, TOM",25,IAP
Carson City,Carson City-Precinct 203,U.S. Senate,,None Of These Candidates,37,
Carson City,Carson City-Precinct 203,U.S. Senate,,"SAWYER, THOMAS TOM""""",14,
Carson City,Carson City-Precinct 203,U.S. Senate,,"WILLIAMS, JARROD M.",8,
Carson City,Carson City-Precinct 203,"University Board of Regents, Dist. 9",,"DEL CARLO, CAROL",479,
Carson City,Carson City-Precinct 203,"University Board of Regents, Dist. 9",,"LAFRANCE, SARA",507,
Carson City,Carson City-Precinct 205,COUNTY QUESTION CC1,,No,832,
Carson City,Carson City-Precinct 205,COUNTY QUESTION CC1,,Yes,378,
Carson City,Carson City-Precinct 205,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,283,
Carson City,Carson City-Precinct 205,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",816,
Carson City,Carson City-Precinct 205,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",857,
Carson City,Carson City-Precinct 205,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,254,
Carson City,Carson City-Precinct 205,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,290,
Carson City,Carson City-Precinct 205,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",803,
Carson City,Carson City-Precinct 205,Mayor of Carson City,,"CARVER, CHRIS",541,
Carson City,Carson City-Precinct 205,Mayor of Carson City,,"CROWELL, ROBERT BOB""""",558,
Carson City,Carson City-Precinct 205,President,,"CASTLE, DARRELL",4,IAP
Carson City,Carson City-Precinct 205,President,,"CLINTON, HILLARY",524,DEM
Carson City,Carson City-Precinct 205,President,,"DE LA FUENTE, ROQUE ROCKY""""",3,NPP
Carson City,Carson City-Precinct 205,President,,"JOHNSON, GARY",64,LPN
Carson City,Carson City-Precinct 205,President,,None Of These Candidates,37,
Carson City,Carson City-Precinct 205,President,,"TRUMP, DONALD J.",608,REP
Carson City,Carson City-Precinct 205,School Trustee Dist. 5,,"REYNOLDS, STEVEN",412,
Carson City,Carson City-Precinct 205,School Trustee Dist. 5,,"WALKER, MICHAEL B.",583,
Carson City,Carson City-Precinct 205,School Trustee Dist. 6,,"HART, SUSAN",973,
Carson City,Carson City-Precinct 205,"State Assembly, District 40",,"GREEDY, MICHAEL L.",461,DEM
Carson City,Carson City-Precinct 205,"State Assembly, District 40",,"KRAMER, AL",644,REP
Carson City,Carson City-Precinct 205,"State Assembly, District 40",,"WAGNER, JOHN",80,IAP
Carson City,Carson City-Precinct 205,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",542,
Carson City,Carson City-Precinct 205,"State Board of Education, Dist. 2",,"HICKEY, PAT",471,
Carson City,Carson City-Precinct 205,STATE QUESTION NO.1,,No,798,
Carson City,Carson City-Precinct 205,STATE QUESTION NO.1,,Yes,429,
Carson City,Carson City-Precinct 205,STATE QUESTION NO.2,,No,613,
Carson City,Carson City-Precinct 205,STATE QUESTION NO.2,,Yes,606,
Carson City,Carson City-Precinct 205,STATE QUESTION NO.3,,No,462,
Carson City,Carson City-Precinct 205,STATE QUESTION NO.3,,Yes,729,
Carson City,Carson City-Precinct 205,STATE QUESTION NO.4,,No,406,
Carson City,Carson City-Precinct 205,STATE QUESTION NO.4,,Yes,781,
Carson City,Carson City-Precinct 205,"Supervisor, Ward 2",,"BONKOWSKI, BRAD",629,
Carson City,Carson City-Precinct 205,"Supervisor, Ward 2",,"WHITE, MAURICE",414,
Carson City,Carson City-Precinct 205,"Supervisor, Ward 4",,"BARRETTE, JOHN",550,
Carson City,Carson City-Precinct 205,"Supervisor, Ward 4",,"SHIRK, JIM",503,
Carson City,Carson City-Precinct 205,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",857,
Carson City,Carson City-Precinct 205,"Supreme Court Justice, Seat A",,None Of These Candidates,259,
Carson City,Carson City-Precinct 205,"Supreme Court Justice, Seat E",,None Of These Candidates,292,
Carson City,Carson City-Precinct 205,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",820,
Carson City,Carson City-Precinct 205,U.S. House,2,"Amodei, Mark E.",685,REP
Carson City,Carson City-Precinct 205,U.S. House,2,"EVANS, H.D. CHIP""""",463,DEM
Carson City,Carson City-Precinct 205,U.S. House,2,"Everhart, John H.",37,IAP
Carson City,Carson City-Precinct 205,U.S. House,2,"KNIGHT, DREW",27,
Carson City,Carson City-Precinct 205,U.S. Senate,,"CORTEZ MASTO, CATHERINE",517,DEM
Carson City,Carson City-Precinct 205,U.S. Senate,,"GUMINA, TONY",16,
Carson City,Carson City-Precinct 205,U.S. Senate,,"HECK, JOE",616,REP
Carson City,Carson City-Precinct 205,U.S. Senate,,"JONES, TOM",25,IAP
Carson City,Carson City-Precinct 205,U.S. Senate,,None Of These Candidates,36,
Carson City,Carson City-Precinct 205,U.S. Senate,,"SAWYER, THOMAS TOM""""",9,
Carson City,Carson City-Precinct 205,U.S. Senate,,"WILLIAMS, JARROD M.",10,
Carson City,Carson City-Precinct 205,"University Board of Regents, Dist. 9",,"DEL CARLO, CAROL",561,
Carson City,Carson City-Precinct 205,"University Board of Regents, Dist. 9",,"LAFRANCE, SARA",491,
Carson City,Carson City-Precinct 207,COUNTY QUESTION CC1,,No,705,
Carson City,Carson City-Precinct 207,COUNTY QUESTION CC1,,Yes,276,
Carson City,Carson City-Precinct 207,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,228,
Carson City,Carson City-Precinct 207,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",666,
Carson City,Carson City-Precinct 207,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",712,
Carson City,Carson City-Precinct 207,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,194,
Carson City,Carson City-Precinct 207,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,222,
Carson City,Carson City-Precinct 207,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",661,
Carson City,Carson City-Precinct 207,Mayor of Carson City,,"CARVER, CHRIS",472,
Carson City,Carson City-Precinct 207,Mayor of Carson City,,"CROWELL, ROBERT BOB""""",427,
Carson City,Carson City-Precinct 207,President,,"CASTLE, DARRELL",7,IAP
Carson City,Carson City-Precinct 207,President,,"CLINTON, HILLARY",372,DEM
Carson City,Carson City-Precinct 207,President,,"DE LA FUENTE, ROQUE ROCKY""""",4,NPP
Carson City,Carson City-Precinct 207,President,,"JOHNSON, GARY",28,LPN
Carson City,Carson City-Precinct 207,President,,None Of These Candidates,38,
Carson City,Carson City-Precinct 207,President,,"TRUMP, DONALD J.",561,REP
Carson City,Carson City-Precinct 207,School Trustee Dist. 5,,"REYNOLDS, STEVEN",375,
Carson City,Carson City-Precinct 207,School Trustee Dist. 5,,"WALKER, MICHAEL B.",442,
Carson City,Carson City-Precinct 207,School Trustee Dist. 6,,"HART, SUSAN",779,
Carson City,Carson City-Precinct 207,"State Assembly, District 40",,"GREEDY, MICHAEL L.",320,DEM
